
########################
###### TV-OSMOSIS ######
########################

experiment: 1
alpha blur: no
initial.  : u0 = f

###### PARAMETERS ######
-- model --
eta             : 0.50
mu              : 100.00
gamma           : 1.00
epsilon (huber) : 0.05
-- iPiano --
beta1           : 0.40
beta2           : 0.40
lambda1         : 2.00
lambda2         : 1.20
L1 (starting)   : 1.00
L2 (starting)   : 1.00
tol iPiano      : 1.00e-06
maxiter         : 10000
-- Primal-Dual --
tol PD          : 1.00e-04
maxiter PD      : 10000
-------------------------------------------------------------------------
   018   | (7.21e-01 | 1.51e+06) | 6.0913e+03 | 2.24e-04 | 5.26e-05 (4)
   019   | (6.01e-01 | 1.26e+06) | 6.0905e+03 | 1.35e-04 | 6.10e-05 (4)
   020   | (5.01e-01 | 1.05e+06) | 6.0898e+03 | 1.11e-04 | 7.09e-05 (4)
   021   | (4.17e-01 | 1.75e+06) | 6.0892e+03 | 1.06e-04 | 4.66e-05 (4)
   022   | (6.96e-01 | 1.46e+06) | 6.0887e+03 | 7.86e-05 | 5.41e-05 (4)
   023   | (5.80e-01 | 1.22e+06) | 6.0883e+03 | 6.72e-05 | 6.29e-05 (4)
   024   | (4.83e-01 | 1.01e+06) | 6.0879e+03 | 6.77e-05 | 7.31e-05 (4)
   025   | (4.03e-01 | 1.69e+06) | 6.0874e+03 | 7.13e-05 | 4.80e-05 (4)
   026   | (3.35e-01 | 1.41e+06) | 6.0870e+03 | 7.33e-05 | 5.58e-05 (4)
   027   | (1.12e+00 | 1.17e+06) | 6.0867e+03 | 4.61e-05 | 6.48e-05 (4)
   028   | (9.32e-01 | 9.77e+05) | 6.0865e+03 | 3.19e-05 | 7.53e-05 (4)
   029   | (7.76e-01 | 1.63e+06) | 6.0863e+03 | 3.01e-05 | 4.95e-05 (4)
   030   | (6.47e-01 | 1.36e+06) | 6.0862e+03 | 3.10e-05 | 5.75e-05 (4)
   031   | (5.39e-01 | 1.13e+06) | 6.0859e+03 | 3.44e-05 | 6.67e-05 (4)
   032   | (4.49e-01 | 9.42e+05) | 6.0857e+03 | 3.82e-05 | 7.75e-05 (4)
   033   | (3.74e-01 | 1.57e+06) | 6.0855e+03 | 4.23e-05 | 5.10e-05 (4)
   034   | (3.12e-01 | 1.31e+06) | 6.0852e+03 | 4.50e-05 | 5.92e-05 (4)
   035   | (1.04e+00 | 1.09e+06) | 6.0850e+03 | 2.83e-05 | 6.87e-05 (4)
   036   | (8.67e-01 | 1.82e+06) | 6.0849e+03 | 1.97e-05 | 4.52e-05 (4)
   037   | (7.22e-01 | 1.51e+06) | 6.0848e+03 | 1.92e-05 | 5.25e-05 (4)
